wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
Ma8lnC1yE,https://weibo.cn/comment/Ma8lnC1yE?uid=2180399745&rl=0#cmtfrm,简直笑哭了:原来人民币真的会自我介绍啊，奇怪的知识增加了  [组图共4张] 原图 ,http://ww3.sinaimg.cn/large/668c33dely1h73rhw1r8aj20u01g7q6q.jpg http://ww3.sinaimg.cn/large/668c33dely1h73rhwdd2nj20u00u0qaw.jpg http://ww1.sinaimg.cn/large/668c33dely1h73rhwnq8uj20u00u0di6.jpg http://ww1.sinaimg.cn/large/668c33dely1h73rhwvv7lj20u00u0ac9.jpg,无,2022-10-13 16:54,nova8 我由我掌镜,2,0,0
Ma8lcmcTS,https://weibo.cn/comment/Ma8lcmcTS?uid=2180399745&rl=0#cmtfrm,中国篮球:#广东男篮单节净胜同曦21分#第三节@CBA广东宏远官方微博 火力全开，单节35-14净胜同曦21分，在半场落后的情况下扭转局面，并建立了15分的领先优势！#马尚重返广东男篮首秀##马尚半场20分# 篮球记事本的微博视频  ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:54,微博视频号,3,0,2
Ma8kPAVUz,https://weibo.cn/comment/Ma8kPAVUz?uid=2180399745&rl=0#cmtfrm,#大排查大整治# #酒头人曝光台# 【酒头人曝光台】让我们一起和酒驾说“不”！！！【酒驾数据通报】【10月13日】2022年10月12日12时-2022年10月13日12时，全市公安交警查获酒驾33起，其中醉驾12起。（2022年1月1日起）截至2022年10月13日，已累计查获酒驾行为10107起，其中醉驾3458。【今日曝光】姓名：丁*雨号牌号码：浙C8**68查获时间：2022年9月25日地点：鹿城区江滨路十四中学附近酒精含量：25mg/100ml喝酒不开车，开车不喝酒，请各位驾驶员自觉遵守！                  原图                             ,https://wx2.sinaimg.cn/large/8ea05daely1h73revtdzyj20hs0np0ve.jpg,无,2022-10-13 16:53,微博 weibo.com,0,0,0
Ma8kp2CYa,https://weibo.cn/comment/Ma8kp2CYa?uid=2180399745&rl=0#cmtfrm,新浪热点:【#幼童被困屋内民警窗外飞入救人# ：担心破门会对幼童造成伤害】近日，浙江台州。沿江镇一居民家中2岁幼童误碰门锁，将自己反锁在卧室内，婴儿床就在窗边且窗未关闭，房内还热着牛奶，孩子惊慌啼哭情况紧急。其家人慌乱中将门锁砸坏，民警到场后担心破门可能会对幼童造成伤害，便立即决定从四楼索降进...全文 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:52,微博视频号,6,3,0
Ma8k1Dv1u,https://weibo.cn/comment/Ma8k1Dv1u?uid=2180399745&rl=0#cmtfrm,花逗请说:好 30分钟的版本 我等下就发，预计6点 来吗？希望获得很多互动（转评赞）等下见  ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:51,微博 weibo.com,8,0,6
Ma8jMgDsL,https://weibo.cn/comment/Ma8jMgDsL?uid=2180399745&rl=0#cmtfrm,中新视频:【#疫情防控不能以静默代替管控#】 10月13日，国务院联防联控机制召开新闻发布会，介绍科学精准做好疫情防控有关情况。国家疾控局传防司司长、一级巡视员雷正龙表示，疫情防控不能简单化，不能过大范围划定风险区域，不能以“静默”代替管控。对风险区域外的学校、餐饮等单位要加强疫情监测，坚决避免...全文 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:50,微博视频号,5,1,6
Ma8iCtnRd,https://weibo.cn/comment/Ma8iCtnRd?uid=2180399745&rl=0#cmtfrm,#咪咕星鲜事# 重温TFBOYS@TFBOYS-王俊凯 @TFBOYS-王源 @TFBOYS-易烊千玺 的合体跨年舞台《大梦想家》，谁不喜欢呢！ “一个一个梦飞出了天窗，一次一次想穿梭旧时光” 熟悉的歌词熟悉的旋律 少年们张开梦想的翅膀 飞到任何想要去的地方！当初那么青涩的少年也长成大人啦#TFBOYS声乐老师晒新歌歌词本#TFBOYS青春无敌献唱《大梦想家》，元气少年陪你一起做梦                                 ,https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a3awsl-ed1a33c1b3.png,无,2022-10-13 16:47,iPhone客户端,2,0,0
Ma8iq77oc,https://weibo.cn/comment/Ma8iq77oc?uid=2180399745&rl=0#cmtfrm,公考王建伟:【国考常识】小骄学姐讲常识2022年6月17日上午，我国第三艘航空母舰(  )在上海江南造船厂下水，这是我国完全自主设计建造的首艘弹射型航空母舰，采用平直、通长飞行甲板、配置电磁弹射和阻拦装置，满载排水量8万余吨。#国考来了##国考公告##一起做个题# 题目的正确答案是？  ,https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png,无,2022-10-13 16:47,无,8,0,0
Ma8i7qGvB,https://weibo.cn/comment/Ma8i7qGvB?uid=2180399745&rl=0#cmtfrm,程师视野:易烊千玺太强了！主演电影票房全部超10亿，还是00后首位百亿影人  详情==> 易烊千玺太强了！主演电影票房全部超10亿，还是00后首位百亿影人   [组图共9张] 原图 ,http://ww4.sinaimg.cn/large/006yUkIZly8gzd2bp5tuwj30u01hcdw0.jpg http://ww2.sinaimg.cn/large/ec434568ly8gzd2etey4hj20u01hc18x.jpg http://ww2.sinaimg.cn/large/006yUkIZly8gzd2ft1zwqj30u00lntbh.jpg http://ww2.sinaimg.cn/large/ec434568ly8gzd2ixmimdj20qo1f3n08.jpg http://ww2.sinaimg.cn/large/006yUkIZly8gzd2jzcsuuj30u016cwha.jpg http://ww3.sinaimg.cn/large/ec434568ly8gzd2n30hh3j20u0190gnp.jpg http://ww3.sinaimg.cn/large/006yUkIZly8gzd2o4tp1nj30u00ggwfj.jpg http://ww4.sinaimg.cn/large/ec434568ly8gzd2r93dgxj20ru0ijq50.jpg http://ww4.sinaimg.cn/large/006yUkIZly8gzd2sba3p9j30u00k0n2d.jpg,无,2022-10-13 16:46,编程客网,0,0,0
Ma8gpFCRf,https://weibo.cn/comment/Ma8gpFCRf?uid=2180399745&rl=0#cmtfrm,中国篮球:#徐昕空篮扣飞#让@杜锋Dufeng 看笑，让马尚沉默，徐昕跳太高，空篮没扣进#同曦男篮vs广东男篮# CBA最前沿的微博视频  ,https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png,无,2022-10-13 16:42,微博视频号,20,0,8
Ma8fbrvdS,https://weibo.cn/comment/Ma8fbrvdS?uid=2180399745&rl=0#cmtfrm,【#扎克伯格元宇宙新形象有腿了#，Meta称“腿很难做”】北京时间10月12日，扎克伯格在Meta Connect大会上展示新的元宇宙虚拟形象。相较之前遭群嘲的旧版虚拟形象，新形象面部表情更加丰富，还“长出”了双腿。Meta宣布下一代的原宇宙形象还将包含可活动的腿脚。Meta表示“腿很难做”。@七环视频 七环视频的微博视频                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,无,2022-10-13 16:39,微博视频号,3,1,1
Ma8dMhnYc,https://weibo.cn/comment/Ma8dMhnYc?uid=2180399745&rl=0#cmtfrm,简直笑哭了:遇到了带麻将来配眼镜的阿姨？  [组图共2张] 原图 ,http://ww1.sinaimg.cn/large/668c33dely1h73raan59mj20u01p3naq.jpg http://ww1.sinaimg.cn/large/668c33dely1h73qyfchpij20u013zn0e.jpg,无,2022-10-13 16:36,nova8 我由我掌镜,2,1,2
Ma8dwBySB,https://weibo.cn/comment/Ma8dwBySB?uid=2180399745&rl=0#cmtfrm,手机上的新浪:【#8000元现金丢失民警发现小猫作案#】近日，云南普洱孟连一村民报警称，家中8000元现金不翼而飞。民警勘查发现，系村民自家小猫入室“作案”，当玩具玩耍把这一叠现金“叼”到了床底下。@澎湃新闻 澎湃新闻的微博视频  ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:35,微博视频号,0,0,0
Ma8dv97w2,https://weibo.cn/comment/Ma8dv97w2?uid=2180399745&rl=0#cmtfrm,新浪看点:【#可以每天用清水冲鼻子吗#】每天用清水冲洗鼻子是好习惯吗？这可以说是一个误区，冲洗鼻子本身这个行为是有好处的，但是一定要讲究冲洗方式。不同物质在鼻腔里边作用是不一样的，比如清水对于鼻腔黏膜是有一定刺激作用的，它不符合我们人体正常的鼻部生理环境。要选取经过研制的、适合鼻腔内环境的液...全文 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:35,微博视频号,0,0,0
Ma8duzH0p,https://weibo.cn/comment/Ma8duzH0p?uid=2180399745&rl=0#cmtfrm,【#女子误操作自嗨锅致满锅泡沫#：又惊奇又觉得有趣】10月12日，山东青岛。女子吃自嗨锅不会操作，把加热包撕开直接加水倒入锅底，引发化学反应锅底不断往外冒泡且溢进食材。当事人葛女士介绍，第1次吃自嗨锅，不知道正确操作，以为要把加热袋撕开倒入水中，结果刚倒入后直接开始吐泡泡，又惊奇又觉得有趣，最后没吃这个自嗨锅，也知道正确操作是什么。@搜狐千里眼 搜狐千里眼的微博视频                                 ,https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png,无,2022-10-13 16:35,微博视频号,0,0,0
Ma8dstq4A,https://weibo.cn/comment/Ma8dstq4A?uid=2180399745&rl=0#cmtfrm,【#欧盟2023年前将开始联合采购天然气#】#欧盟对天然气限价问题未能达成一致# 当地时间10月12日，欧盟能源部长非正式会议在捷克首都布拉格举行，与会各方普遍同意在2023年夏天之前开始联合采购天然气并推动节能。但在天然气限价方面，无论是对于来自俄罗斯的天然气实施限价，还是对用于发电的天然气实施限价，各成员国依然分歧严重，未能达成一致。 央视网科技的微博视频                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:35,微博发布平台专业版,0,0,0
Ma8cBASLQ,https://weibo.cn/comment/Ma8cBASLQ?uid=2180399745&rl=0#cmtfrm,【#露营遇到最尴尬的事是什么#】#露营的主要目的是拍照吗# 露营成为越来越多人在休闲时光的选择，三五好友一起相约周末，带着简单的装备，在郊区或者公园来一场说走就走的露营之旅。出去玩，当然少不了享受美食，从调研结果看，露营人群平均会花费116元在购买准备食物上，食物支出是除了露营住宿费用外最大的开支项目，零食、小吃、甜品类最受欢迎，有82.4%的人选择带上这类食品。超过七成的人还会带上饮品类、新鲜水果类出去露营。#热力研究所# @图数室 你去露营最喜欢带什么食物？                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:33,微博 weibo.com,13,0,1
Ma8bvBYTK,https://weibo.cn/comment/Ma8bvBYTK?uid=2180399745&rl=0#cmtfrm,搞笑小皇帝:鸽子：放我鸽子是吧？？请关注：DOU YIN HAO #画说逗唱#  搞笑小皇帝的微博视频  ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:30,微博视频号,1,0,0
Ma8bdyi4Z,https://weibo.cn/comment/Ma8bdyi4Z?uid=2180399745&rl=0#cmtfrm,有道考神建昆老师:【双语视频】当睡觉时，我的大脑在干什么？via dy 中国日报双语新闻 有道考神建昆老师的微博视频  ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:29,微博视频号,5,3,1
Ma88Ipf20,https://weibo.cn/comment/Ma88Ipf20?uid=2180399745&rl=0#cmtfrm,咪咕剧场:#咪咕综艺社# @MIC檀健次JC-T 自信放话“我觉得我舞台担当吧”，当需要才艺表演时又说“大哥上”，到底是舞台担当还是“卧底担当”呢，真是一整个笑住~#檀健次说演甜剧很新鲜#  檀·舞台小能手·健次已上线，不愧是百变ACE，什么舞台都能轻松驾驭  ,https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png,无,2022-10-13 16:23,檀健次超话,1,0,0
Ma88AuW8t,https://weibo.cn/comment/Ma88AuW8t?uid=2180399745&rl=0#cmtfrm,咪咕剧场:#咪咕星鲜事# @TFBOYS-王源 在电影《地久天长》中饰演的角色是一个具有隔离感，沉默寡言又带着叛逆的少年这样的角色同他在日常中的性格反差很大，王源究竟是怎样演绎的呢？一起上@咪咕视频 看王源的《地久天长》吧 #王源任敏新剧操场奔跑花絮#王小帅《地久天长》曝剧情版预告  ,https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png,无,2022-10-13 16:23,王源超话,0,0,0
Ma88vd2kZ,https://weibo.cn/comment/Ma88vd2kZ?uid=2180399745&rl=0#cmtfrm,半个柠檬先生:2022-2023中国排球超级联赛第一阶段分站赛承办赛区公示：中国男子排球超级联赛场馆：第一站 A组：开封市人民体育馆 B组：婺源体育中心体育馆第二站 C组：国家体育总局秦皇岛训练基地比赛馆 D组：淮安市体育中心体育馆第三站 E组：合肥体育中心体育馆 F组：国家体育总局秦皇岛训练基地比赛馆中国...全文 原图 ,https://wx2.sinaimg.cn/large/6044a79bgy1h73qknh30cj20u00lvagd.jpg,无,2022-10-13 16:22,无,10,2,5
Ma88n9Wbz,https://weibo.cn/comment/Ma88n9Wbz?uid=2180399745&rl=0#cmtfrm,外刊IT评论:44岁黄奕谈人生的伤口和重启：我已经让过去过去了  详情==> 44岁黄奕谈人生的伤口和重启：我已经让过去过去了   [组图共3张] 原图 ,http://ww2.sinaimg.cn/large/e86ec677ly8h2ycl6da97j218a0u0tdx.jpg http://ww1.sinaimg.cn/large/e3445697ly8h2ycm74zdqj20hj0ln779.jpg http://ww2.sinaimg.cn/large/e86ec677ly8h2ycpbfkxbj20ao0dwdge.jpg,无,2022-10-13 16:22,外刊IT评论网,0,0,0
Ma88loyPO,https://weibo.cn/comment/Ma88loyPO?uid=2180399745&rl=0#cmtfrm,咪咕剧场:#咪咕剧场#郑宇星@吴磊LEO 也太会了吧，为喜欢的女生策划特别的生日，把祝福写在歌里唱出来，浪漫的气息隔着屏幕都能感受到~上@咪咕视频 看《盛夏未来》解锁吴磊更多精彩内容吧~#吴磊午间光影六宫格# 哪个少女能抵挡这样的吴磊！生日祝福写在歌里，亲自唱给你听  ,https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png,无,2022-10-13 16:22,吴磊超话,4,0,0
Ma87HtVru,https://weibo.cn/comment/Ma87HtVru?uid=2180399745&rl=0#cmtfrm,#Cocos# 全球活跃中全世界越来越多人在用 Cocos 了[哇]目前，Cocos 拥有160万+开发者，覆盖203个国家和地区。通过官方英文论坛、资源商店、YouTube 频道、Twitter、facebook、学习社区等渠道，海外开发者将第一时间掌握引擎最新动态、找到多语言学习资料、和本土开发者交流探讨！官方英文论坛：网页链接官方油管：网页链接             [组图共6张]      原图                             ,http://ww2.sinaimg.cn/large/6abc7cb9ly1h73qidbpqij20nl0xcdv6.jpg http://ww1.sinaimg.cn/large/6abc7cb9ly1h73qidrdi2j20zo15l7j1.jpg http://ww2.sinaimg.cn/large/6abc7cb9ly1h73qie5bu1j216w0v4x0y.jpg http://ww3.sinaimg.cn/large/6abc7cb9ly1h73qiefjecj20u00u0h41.jpg http://ww4.sinaimg.cn/large/6abc7cb9ly1h73qieup0mj20w01kwquz.jpg http://ww4.sinaimg.cn/large/6abc7cb9ly1h73qiffvsxj21zm1iub2b.jpg,无,2022-10-13 16:20,新版微博 weibo.com,0,0,0
Ma86lkpt1,https://weibo.cn/comment/Ma86lkpt1?uid=2180399745&rl=0#cmtfrm,📅 10月13日微博游戏同人绘画创作展示来啦[志愿者][志愿者]~#游中色彩# 游进你的心巴~[赢牛奶]感谢各位画师太太大大们的创作╰(*°▽°*)╯— — 作品传送门 — —@萳七 ：网页链接@流心奶黄汤圆 ：网页链接@凌云云云子 ：网页链接@美丽可爱的张小雅 ：网页链接@一枝花沒有開_ ：网页链接*每日展示部分绘画作品（随机选取作品且排序不分先后、展示作品数量不定）。期待更多画师太太的投稿～可以在作品评论区@微博游戏 ，方便小游及时发现大作哟~             [组图共6张]      原图                             ,http://ww1.sinaimg.cn/large/007dzhRmly1h73qepij93j30u01m27ic.jpg http://ww3.sinaimg.cn/large/007dzhRmly1h73qfa1wldj30u0140jtx.jpg http://ww4.sinaimg.cn/large/007dzhRmly1h73qfavl19j30u016gmyg.jpg http://ww3.sinaimg.cn/large/007dzhRmly1h73qfc5x6yj30u016gdk1.jpg http://ww1.sinaimg.cn/large/007dzhRmly1h73qfczznpj30u00u0ta4.jpg http://ww2.sinaimg.cn/large/007dzhRmly1h73qeogy9tj31hc0u0wks.jpg,无,2022-10-13 16:17,iPhone 13,3,2,1
Ma86dDj0s,https://weibo.cn/comment/Ma86dDj0s?uid=2180399745&rl=0#cmtfrm,【爸爸辅导9岁儿子乘法 儿子被气得抓狂大哭】#爸爸辅导数学作业把儿子气哭# 10月11日，辽宁抚顺的齐先生在给儿子辅导数学作业时，竟把儿子气哭。齐先生表示，当时自己按照小时候学的乘法，从后依次往前开始乘，但孩子说他们现在的方法不是这样，最后把孩子给气哭了。事后回想，感觉儿子做得对，哪怕哭了也会勇敢说出自己的想法。网友调侃：剧情反转，#辅导作业把孩子气哭的家长#！（时间视频）时间视频的微博视频                                 ,https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png,无,2022-10-13 16:17,微博视频号,3,1,1
Ma86bfpRC,https://weibo.cn/comment/Ma86bfpRC?uid=2180399745&rl=0#cmtfrm,#科普商店#【你相信进化论吗？切尔诺贝利黑蛙证明进化在行动】#研究揭秘切尔诺贝利的变异青蛙# 切尔诺贝利事故是人类历史上向环境中释放放射性物质最多的一次，严重破坏了当地的环境。然而今天，各种各样的濒危物种在那里避难。辐射会给生物带来不良突变，但也可能是一种非常强大的自然选择因素。近日，发表在《进化应用》杂志上的一项研究发现，切尔诺贝利树蛙的颜色比该区域以外的树蛙颜色要深度多，有些甚至是漆黑的。这表明，一些生物在那里正在快速进化，适应了辐射并成功地繁殖。（来源：智慧科技迷）智慧科技迷的微博视频                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:17,微博视频号,0,0,0
Ma85Uatbg,https://weibo.cn/comment/Ma85Uatbg?uid=2180399745&rl=0#cmtfrm,【#运动不当可能造成身体伤害#】近日，健康中国行动推进委员会办公室副主任、国家卫健委规划发展与信息化司司长毛群安接受中新社“中国焦点面对面”专访时表示，参加体育锻炼的人越来越多，也出现了一个问题，就是不当运动造成的伤害增加。这提示我们要科学运动，对运动进行指导。我们提出“体医融合”，希望通过体育健身和医疗卫生两个专业的融合，让民众既能健身，又能防止运动不当造成的伤害。（董泽宇 李纯） 中新视频的微博视频                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:16,微博视频号,3,1,0
Ma85wqrBt,https://weibo.cn/comment/Ma85wqrBt?uid=2180399745&rl=0#cmtfrm,简直笑哭了:小时候撒过最成功的谎？  [组图共7张] 原图 ,http://ww2.sinaimg.cn/large/668c33dely1h73mxnl6fej20u01ibach.jpg http://ww4.sinaimg.cn/large/668c33dely1h73mxntnl5j20u00d1di9.jpg http://ww3.sinaimg.cn/large/668c33dely1h73mxo21bqj20u00czwgi.jpg http://ww1.sinaimg.cn/large/668c33dely1h73mxodmqtj20u00rpwg0.jpg http://ww3.sinaimg.cn/large/668c33dely1h73mxp009dj20u00d3goh.jpg http://ww4.sinaimg.cn/large/668c33dely1h73mxpeb0cj20u012bmzq.jpg http://ww2.sinaimg.cn/large/668c33dely1h73mxprbtuj20u00nvdkb.jpg,无,2022-10-13 16:15,nova8 我由我掌镜,13,5,14
Ma85cDABA,https://weibo.cn/comment/Ma85cDABA?uid=2180399745&rl=0#cmtfrm,【#老师独自在教室站着为学生上网课# 拍摄者：看到这一幕时非常感动】10月11日，河南郑州。@中原科技学院官微 一位老师独自在教室里为学生上网课，全程非常认真地站着讲述知识。拍摄者李同学称他看到这一幕时非常感动，他本可以坐在办公室或者居家上课的，这是一种师德的体现，他的学生应该也知道老师为他们的认真付出。@梧桐Video 梧桐Video的微博视频                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:14,微博视频号,49,7,10
Ma84PljRu,https://weibo.cn/comment/Ma84PljRu?uid=2180399745&rl=0#cmtfrm,【会晤结束后，#普京给阿联酋总统披上自己的外套#】当地时间11日，阿联酋总统抵达俄罗斯圣彼得堡与俄总统普京进行会谈。综合俄新社、“今日俄罗斯”（RT）等俄媒12日报道，会谈结束后两位领导人再现身时，一个小细节引发关注：普京给阿联酋总统披上了自己的大衣外套。12日，俄罗斯总统新闻秘书佩斯科夫证实外套来自普京，并表示这是一种关注的姿态，显示了两国领导人相互友好的态度。@环视频 环视频的微博视频                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/5337.gif,无,2022-10-13 16:13,微博视频号,15,3,14
Ma84f1OGE,https://weibo.cn/comment/Ma84f1OGE?uid=2180399745&rl=0#cmtfrm,数据化管理:现在的共享单车已经变成各种小广告的流动载体了，包括并不限于代开发票、房屋中介，各种黄色小卡片……  ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:12,iPhone 11 Pro,6,0,2
Ma84dtDPq,https://weibo.cn/comment/Ma84dtDPq?uid=2180399745&rl=0#cmtfrm,#研究揭秘切尔诺贝利的变异青蛙#【切尔诺贝利的变异青蛙：鲜绿色变黑色 科学家：黑色素在核辐射环境中有保护作用】据红星新闻 报道：1986年发生在切尔诺贝利的核泄漏事故是人类历史上最严重的核灾难之一，其产生的核辐射对当地环境和人类产生了严重的影响。在事故发生的36年后，科学家在切尔诺贝利禁区发现了一种变异的黑色青蛙正在核电站附近产卵。有报道称，这种青蛙的原身是拥有着鲜绿色皮肤的“东方树蛙”，但科学家们发现，受损的核电厂附近许多树蛙的皮肤呈深色甚至是黑色。他们认为，深色皮肤可能有助于这些青蛙“防辐射”，以便在切尔诺贝利禁区内生存。 研究揭秘切尔诺贝利的变异青蛙                                 ,https://h5.sinaimg.cn/upload/2016/05/26/319/donate_btn_s.png,无,2022-10-13 16:12,微博 weibo.com,53,8,19
